序号,节目名/标题,平台,日期,时长,URL,视频GUID,是否官方发布,下载可行性
1,《感动中国2022年度人物颁奖盛典》陆鸿：人生贵自强（颁奖片段）,央视网 tv.cctv.com（CCTV-1/CCTV-13 2023-03-04晚播出）,2023-03-04（页面更新2023-03-05 14:47）,未标注（个人片段，约4-5分钟；整场盛典约90分钟）,https://tv.cctv.com/2023/03/05/VIDEYPBfQsLhwodeEm91qrBv230305.shtml,16eab303600c4c7e8ed16a984f576994,是（央视网官方）,HLS加密分片（.m3u8），官方API对无Referer请求返回1100拒绝访问；可用you-get/yt-dlp带Referer尝试，成功率中
2,感动中国年度人物陆鸿 带动150名残疾人就业致富（央视新闻短视频）,央视网 v.cctv.com,2023-03-05 20:22,未标注（约3-5分钟）,https://v.cctv.com/2023/03/05/VIDEphX4Q4aUUsBr9zBezUz9230305.shtml,d20eb5bc3c16446c85f35e0628548613,是（央视网官方）,同上，HLS分片+API拒访，需带Referer工具
3,《感动中国2022年度人物颁奖盛典》陆鸿：人生贵自强（转载版）,共产党员网 12371.cn,2023-03-05,未标注,https://www.12371.cn/2023/03/05/VIDE1677998881299773.shtml,99df8f25754947779a09e67bad2ed050,是（党建官方平台，转央视视频）,页面为央视播放器嵌入，同条目1源
4,[感动中国2022年度人物颁奖盛典]陆鸿：人生贵自强（镜像）,腾讯视频,2023-03-05,未标注,https://v.qq.com/x/page/k3505lq6x4q.html,—,官方内容镜像（腾讯正片页）,腾讯视频需txvlog/yt-dlp解析，中低成功率；建议直接用央视源
5,感动中国丨陆鸿：能吃苦肯奋斗 似一叶扁舟在激湍中逆流而上,腾讯视频,2023-03,未标注,https://v.qq.com/x/page/u3505o5mdo1.html,—,官方内容镜像（1080P页面标注）,同上
6,所有人都认为他不行时，“阿甘”厂长选择不停奔跑,优酷,2023-03（优酷综艺频道）,218秒（3分38秒，页面数据已核）,https://v.youku.com/v_show/id_XNjUzNjI4MDIxMg==.html,—,官方内容分发（优酷正版页）,优酷有自家加密(yk加密m3u8)，you-get支持一般，建议备用
7,《面对面》陆鸿：“阿甘”厂长（首次专访）,CCTV-13 央视网,2020-12-13（周日22:20更新）,栏目约45分钟（个人部分未核到准确时长）,https://tv.cctv.com/2020/12/13/VIDEt3SU48p23FW0P0zQhe1y201213.shtml,f7709407d19a4fbcaaa4a24e156a8b4b,是（央视官方）,HLS分片，老视频或有未加密m3u8直链，yt-dlp成功率较高
8,《面对面》20260517 陆鸿：人生不设限（片段页）,CCTV-13 央视网,2026-05-17（全国助残日，22:12更新）,未标注（约10-20分钟）,https://tv.cctv.com/2026/05/17/VIDEdzjoG3WPeiISUBmkNL8s260517.shtml,2670e87fface491c98473497d0c30015,是（央视官方）,HLS分片+API拒访，同条目1
9,《面对面》20260517 整期（含陆鸿专访）,CCTV-13 央视网,2026-05-17 22:34,45分钟（栏目固定时长）,https://tv.cctv.com/2026/05/17/VIDEYZo91UiSFVceYnrNY8kM260517.shtml,10b08ebec1d540f79a60f397cd7779f0,是（央视官方）,同上
10,面对面丨“中国阿甘”陆鸿：冲破一个又一个上限，让人生不设限,bilibili 央视网官方号,2026-05-18,21分24秒（API已核）,https://www.bilibili.com/video/BV1GvLc6AEdq/,BV1GvLc6AEdq,是（央视网官方B站号）,高：B站DASH可直接由yt-dlp/BBDown下载（1080P）
11,面对面丨“中国阿甘”陆鸿（文字实录+视频）,腾讯新闻,2026-05-18,—（图文实录）,https://view.inews.qq.com/a/20260518A01MUL00,—,官方内容分发,图文可直接抓取，视频内嵌
12,CCTV「面对面」人生不设限（海外分发）,YouTube,2026-05,约21分钟,https://www.youtube.com/watch?v=r8KuYyr1Mg4,r8KuYyr1Mg4,是（央视官方海外频道）,高（yt-dlp直下），需海外网络环境
13,江苏“最美人物”发布：陆鸿（崔根良颁奖）发布仪式及报道,江苏广电/苏州广电（报道见搜狐、名城苏州网）,2023-11-14,未核到,https://www.sohu.com/a/738152991_121106832,—,是（省级发布仪式，视频未检索到直链）,低：需在荔枝新闻/我苏网/看苏州App内检索原视频，网页无直链
14,【特别视频】感动中国人物的早期报道：“阿甘厂长”陆鸿：奋斗出的幸福人生,bilibili（UP主：地铁达人守望者，转载2021年3月电视报道）,原报道2021-03；B站发布2023-03-05,2分23秒（API已核）,https://www.bilibili.com/video/BV1YL41117uG,BV1YL41117uG,否（自媒体转载，原片出处待溯源）,高（B站可直下，仅720P内）
15,《人生不设限，爱拼才会赢》“中国阿甘”陆鸿2024跨年演讲,抖音（自媒体发布）,2025-01前后,未核到,https://www.douyin.com/video/7491616668376976691,—,否（现场记录，自媒体上传）,中：抖音水印版可用yt-dlp下载，需登录态Cookie
16,脑瘫厂长陆鸿被评为《江苏最美人物》（自媒体剪辑）,抖音,2024-10,未核到,https://www.douyin.com/video/7422944485526637865,—,否（自媒体二创剪辑）,中：同上需Cookie
17,中国阿甘陆鸿演讲混剪（清璞汇·菲常语商）,bilibili（UP主：菲常语商）,2025-03-02,12分26秒（API已核）,https://www.bilibili.com/video/BV1Hk9tY4Enu/,BV1Hk9tY4Enu,否（自媒体演讲混剪）,高（B站可直下）
